run_id,query
P017_r3,text to speech service multiple voices conversation generation
P017_r3,services that can generate dialogues with multiple speakers voices text to speech
P018_r1,free website or program to translate video and add subtitles automatically
P018_r1,免费工具 翻译视频 字幕 自动 translate video subtitle free online
P018_r2,free website program to translate and add subtitles to video automatically
P018_r2,無料 video 翻訳 字幕 自動 サービス free translate subtitles video
P018_r3,free website or program to translate videos and add subtitles automatically
P018_r3,免费 翻译 视频 自动 字幕 在线 tool free translate video subtitles
P019_r1,meilleur logiciel de traduction instantanée traduction en temps réel logiciel
P019_r1,best real-time translation software instant translation tools comparison
P019_r2,meilleur logiciel de traduction instantané
P019_r2,best instant translation software comparison
P019_r3,meilleur logiciel de traduction instantanée
P019_r3,best real-time translation software comparison
P020_r1,tools to translate foreign audio to English in real time during video playback software
P020_r1,real-time audio translation for videos apps translate foreign audio to English live translation
P020_r2,tool to translate foreign audio to English in real-time during video playback
P020_r2,"software real time audio translation for video, foreign language to English"
P020_r3,tool to translate foreign audio to English in real-time during video playback
P020_r3,software real time video playback audio translation to English subtitles or dubbing
P021_r1,free website or program to translate 20-minute video and add subtitles
P021_r1,tools that auto-translate video subtitles free
P021_r2,free website or program that can translate video and add subtitles automatically
P021_r2,free tools to translate and subtitle a 20 minute video
P021_r3,free website or program that can translate video and add subtitles automatically
P021_r3,free tools to translate video and subtitle 20 minute video online free
P022_r1,free AI tools for audio transcription
P022_r1,best free speech to text transcription tools online
P022_r2,free AI tools for audio transcription
P022_r2,free audio transcription tools AI free options
P022_r3,free AI tools for audio transcription
P022_r3,best free audio transcription tools AI free speech to text
P023_r1,tools available for text to speech
P023_r1,best text to speech tools list TTS software
P023_r2,tools available for text to speech TTS software
P023_r2,text to speech tools list voices APIs apps
P023_r3,Text to speech tools available software text to speech tools
P023_r3,Best text to speech tools text to speech software TTS options
P024_r1,best speech to text solutions 2026
P024_r1,top automatic speech recognition (ASR) tools for speech to text features
P024_r2,best speech to text solutions software 2026
P024_r2,compare speech to text transcription APIs and apps
P024_r3,best speech to text solutions 2026 speech recognition software
P024_r3,top speech to text APIs and apps comparison
P025_r1,free applications that can read text aloud in natural voices
P025_r1,apps or services free text to speech with natural voices
P025_r2,free applications that can read text in naturalistic voices text to speech free apps
P025_r2,free apps with realistic voices TTS free natural sounding voices application
