,query,product,market_type,query_level,csmpo_mean,csmpo_var,csmpo_std
0,What is the best smartphone?,Smartphone,Commodity / Saturated,General,0.631321548821549,0.055739518430659,0.2360921820617087
1,What is the best smartphone under 1000 dollars?,Smartphone,Commodity / Saturated,General & Price,0.5862698412698414,0.06411392038296801,0.2532072676345764
2,What is the best smartphone under 1000 dollars with a good camera?,Smartphone,Commodity / Saturated,General & Price & Feature,0.516540404040404,0.08309366710029589,0.2882597216058738
3,What is the best smartphone under 1000 dollars with a good camera and long battery life?,Smartphone,Commodity / Saturated,General & Price & Feature & Feature,0.404563492063492,0.05798725277147896,0.24080542512883502
4,What is the best laptop?,Laptop,Commodity / Saturated,General,0.23601851851851852,0.013263108710562415,0.11516557085588737
5,What is the best laptop under 1500 dollars?,Laptop,Commodity / Saturated,General & Price,0.06382756132756133,0.007682779935512618,0.08765146853026833
6,What is the best laptop under 1500 dollars with good performance?,Laptop,Commodity / Saturated,General & Price & Feature,0.05555555555555555,0.008024691358024694,0.08958064164776168
7,What is the best laptop under 1500 dollars with good performance and a lightweight design?,Laptop,Commodity / Saturated,General & Price & Feature & Feature,0.08055555555555555,0.011103395061728395,0.10537264854661477
8,What is the best smartwatch?,Smartwatch,Commodity / Saturated,General,0.5361111111111112,0.014963991769547323,0.1223273958259037
9,What is the best smartwatch under 800 dollars?,Smartwatch,Commodity / Saturated,General & Price,0.09185185185185185,0.03347013031550068,0.18294843622042983
10,What is the best smartwatch under 800 dollars with heart rate monitor?,Smartwatch,Commodity / Saturated,General & Price & Feature,0.16916666666666666,0.02913958333333333,0.17070320246947135
11,What is the best smartwatch under 800 dollars with heart rate monitor and long battery life?,Smartwatch,Commodity / Saturated,General & Price & Feature & Feature,0.15544973544973542,0.018809092690574174,0.13714624563061933
12,What are the best headphones?,Headphones,Commodity / Saturated,General,0.31805555555555554,0.02852816358024691,0.16890282289010716
13,What are the best headphones under 500 dollars?,Headphones,Commodity / Saturated,General & Price,0.2748646723646724,0.04342745843174974,0.20839255848458155
14,What are the best headphones under 500 dollars with noise cancellation?,Headphones,Commodity / Saturated,General & Price & Feature,0.16850529100529102,0.03746991773046667,0.1935714796411565
15,What are the best headphones under 500 dollars with noise cancellation and comfortable fit?,Headphones,Commodity / Saturated,General & Price & Feature & Feature,0.22215608465608466,0.036286513010554036,0.19049019137623344
16,What is the best drone?,Drone,Niche / Emerging,General,0.43440476190476185,0.03894869338180125,0.19735423325026816
