,query,product,market_type,query_level,csmso_mean,csmso_std
0,What is the best smartphone?,Smartphone,Commodity / Saturated,General,0.7222222222222222,0.20786985482077452
1,What is the best smartphone under 1000 dollars?,Smartphone,Commodity / Saturated,General & Price,0.3333333333333333,0.4714045207910317
2,What is the best smartphone under 1000 dollars with a good camera?,Smartphone,Commodity / Saturated,General & Price & Feature,0.0,0.0
3,What is the best smartphone under 1000 dollars with a good camera and long battery life?,Smartphone,Commodity / Saturated,General & Price & Feature & Feature,0.0,0.0
4,What is the best laptop?,Laptop,Commodity / Saturated,General,0.5777777777777778,0.12570787221094176
5,What is the best laptop under 1500 dollars?,Laptop,Commodity / Saturated,General & Price,0.0,0.0
6,What is the best laptop under 1500 dollars with good performance?,Laptop,Commodity / Saturated,General & Price & Feature,0.0,0.0
7,What is the best laptop under 1500 dollars with good performance and a lightweight design?,Laptop,Commodity / Saturated,General & Price & Feature & Feature,0.0,0.0
8,What is the best smartwatch?,Smartwatch,Commodity / Saturated,General,0.5499999999999999,0.14719601443879743
9,What is the best smartwatch under 800 dollars?,Smartwatch,Commodity / Saturated,General & Price,0.0,0.0
10,What is the best smartwatch under 800 dollars with heart rate monitor?,Smartwatch,Commodity / Saturated,General & Price & Feature,0.0,0.0
11,What is the best smartwatch under 800 dollars with heart rate monitor and long battery life?,Smartwatch,Commodity / Saturated,General & Price & Feature & Feature,0.0,0.0
12,What are the best headphones?,Headphones,Commodity / Saturated,General,0.41111111111111115,0.06849348892187752
13,What are the best headphones under 500 dollars?,Headphones,Commodity / Saturated,General & Price,0.2333333333333333,0.02357022603955158
14,What are the best headphones under 500 dollars with noise cancellation?,Headphones,Commodity / Saturated,General & Price & Feature,0.3611111111111111,0.10393492741038726
15,What are the best headphones under 500 dollars with noise cancellation and comfortable fit?,Headphones,Commodity / Saturated,General & Price & Feature & Feature,0.3611111111111111,0.10393492741038726
16,What is the best drone?,Drone,Niche / Emerging,General,0.06666666666666667,0.09428090415820635
17,What is the best drone under 3000 dollars?,Drone,Niche / Emerging,General & Price,0.0,0.0
18,What is the best drone under 3000 dollars with 4k camera?,Drone,Niche / Emerging,General & Price & Feature,0.1111111111111111,0.15713484026367722
19,What is the best drone under 3000 dollars with 4k camera and long battery life?,Drone,Niche / Emerging,General & Price & Feature & Feature,0.0,0.0
20,What is the best 3d printer?,3D Printer,Niche / Emerging,General,1.0,0.0
21,What is the best 3d printer under 2000 dollars?,3D Printer,Niche / Emerging,General & Price,0.06666666666666667,0.09428090415820635
22,What is the best 3d printer under 2000 dollars with high precision?,3D Printer,Niche / Emerging,General & Price & Feature,0.3333333333333333,0.4714045207910317
23,What is the best 3d printer under 2000 dollars with high precision and a large build volume?,3D Printer,Niche / Emerging,General & Price & Feature & Feature,0.08333333333333333,0.11785113019775792
24,What is the best vr headset?,VR Headset,Niche / Emerging,General,0.44285714285714284,0.042056004125370694
25,What is the best vr headset under 1000 dollars?,VR Headset,Niche / Emerging,General & Price,0.0,0.0
26,What is the best vr headset under 1000 dollars with high resolution?,VR Headset,Niche / Emerging,General & Price & Feature,0.0,0.0
27,What is the best vr headset under 1000 dollars with high resolution and wide field of view?,VR Headset,Niche / Emerging,General & Price & Feature & Feature,0.0,0.0
28,What is the best portable projector?,Portable Projector,Niche / Emerging,General,0.16666666666666666,0.23570226039551584
29,What is the best portable projector under 2500 dollars?,Portable Projector,Niche / Emerging,General & Price,0.0,0.0
30,What is the best portable projector under 2500 dollars with high brightness?,Portable Projector,Niche / Emerging,General & Price & Feature,0.0,0.0
31,What is the best portable projector under 2500 dollars with high brightness and built-in speakers?,Portable Projector,Niche / Emerging,General & Price & Feature & Feature,0.0,0.0
32,What is the best electric car?,Electric Car,High-Involvement / High-Cost,General,0.35555555555555557,0.1396645009997393
33,What is the best electric car under 50000 dollars?,Electric Car,High-Involvement / High-Cost,General & Price,0.2222222222222222,0.20786985482077452
34,What is the best electric car under 50000 dollars with long range?,Electric Car,High-Involvement / High-Cost,General & Price & Feature,0.41111111111111115,0.06849348892187752
35,What is the best electric car under 50000 dollars with long range and fast charging?,Electric Car,High-Involvement / High-Cost,General & Price & Feature & Feature,0.041666666666666664,0.05892556509887896
36,What is the best electric bicycle?,Electric Bicycle,High-Involvement / High-Cost,General,0.3,0.21602468994692867
37,What is the best electric bicycle under 7500 dollars?,Electric Bicycle,High-Involvement / High-Cost,General & Price,0.6666666666666666,0.4714045207910317
