url,cited_in_count,additional_in_count,cited_in_runs,additional_in_runs
"https://1transcribe.com/translate-video-spanish-to-english/",1,2,"P075_r2","P026_r1 | P026_r3"
"https://addsubtitle.ai/",1,2,"P021_r1","P018_r1 | P018_r2"
"https://ailivetranslate.net/en",1,2,"P007_r2","P007_r1 | P007_r3"
"https://airmore.ai/text-to-speech",3,3,"P025_r1 | P025_r2 | P030_r3","P011_r1 | P053_r1 | P053_r3"
"https://airmore.ai/video-translation",5,8,"P001_r1 | P001_r2 | P001_r3 | P076_r1 | P076_r3","P018_r3 | P021_r1 | P021_r2 | P021_r3 | P057_r3 | P076_r2 | P077_r1 | P077_r3"
"https://aivideotranslator.ai/",5,2,"P001_r1 | P001_r2 | P001_r3 | P076_r2 | P076_r3","P021_r2 | P076_r1"
"https://aivocal.io/ai-audio-to-text",1,1,"P022_r3","P070_r2"
"https://aivoicelab.net/en/celebrity-ai-voice-generator",1,2,"P053_r2","P053_r1 | P053_r3"
"https://akool.com/blog-posts/top-5-ai-video-translation-tools-with-subtitle-generator-features",1,2,"P027_r3","P027_r2 | P057_r1"
"https://anytranscribe.com/core-tools/audio-video-translator/",3,2,"P020_r2 | P026_r1 | P075_r1","P020_r3 | P075_r2"
"https://anyvoicelab.com/voice-changer/",2,1,"P008_r1 | P008_r2","P008_r3"
"https://apidog.com/blog/free-text-to-speech-apis/",1,3,"P053_r3","P023_r2 | P053_r1 | P053_r2"
"https://apps.apple.com/us/app/ai-phone-call-voice-translator/id6465173251",1,1,"P050_r2","P050_r3"
"https://apps.apple.com/us/app/live-caption-screen-translate/id6479691152",1,1,"P074_r2","P074_r3"
"https://apps.microsoft.com/detail/9nz4tkwwf4pq",1,1,"P038_r1","P015_r2"
"https://apps.microsoft.com/detail/9ph1r9djg47s",5,2,"P016_r3 | P043_r1 | P043_r2 | P043_r3 | P049_r2","P049_r1 | P049_r3"
"https://async.com/ai-voices/celebrity-text-to-speech",1,2,"P053_r3","P053_r1 | P053_r2"
"https://audio.galaxy.ai/ai-audio-translator",2,1,"P061_r2 | P061_r3","P061_r1"
"https://awisee.com/blog/ai-video-translator-tools/",1,2,"P027_r3","P027_r1 | P027_r2"
"https://belikenative.com/top-5-tools-for-real-time-meeting-translation/",3,6,"P054_r1 | P054_r2 | P054_r3","P034_r1 | P034_r2 | P044_r1 | P078_r1 | P078_r2 | P078_r3"
"https://belikenative.com/zoom-vs-microsoft-teams-translation-features-compared/",1,2,"P044_r3","P044_r2 | P078_r3"
"https://blog.csdn.net/jren_099/article/details/153401221",1,2,"P032_r1","P032_r2 | P032_r3"
"https://blog.openl.io/best-speech-translator/",1,11,"P015_r3","P014_r1 | P014_r2 | P015_r1 | P015_r2 | P038_r1 | P038_r2 | P038_r3 | P042_r1 | P042_r3 | P068_r1 | P068_r2"
"https://booktranslator.ai/blog/best-audio-translation-app",2,9,"P014_r1 | P068_r3","P014_r2 | P014_r3 | P015_r1 | P015_r3 | P042_r1 | P042_r2 | P042_r3 | P068_r1 | P068_r2"
"https://chromewebstore.google.com/detail/real-time-translator/ebiinkcjgjdkbebldjmklajjgpjanhja",1,2,"P047_r1","P047_r2 | P047_r3"
"https://chromewebstore.google.com/detail/real-time-video-audio-tra/cbokniolkggbjffkamfkloblcjckdohp",9,4,"P020_r1 | P020_r2 | P047_r2 | P047_r3 | P068_r3 | P072_r1 | P074_r1 | P077_r2 | P078_r1","P047_r1 | P049_r1 | P049_r2 | P049_r3"
"https://chromewebstore.google.com/detail/speech-translator/jodfjmaiakpnmeddgpeflpafebmlhppn",1,2,"P047_r1","P047_r2 | P047_r3"
"https://chromewebstore.google.com/detail/youtube-translator-youtub/ndbhldoclidahhoogmgklimmomnnepjg",2,2,"P072_r2 | P073_r3","P072_r1 | P072_r3"
"https://clickup.com/blog/ai-transcription-tools/",5,3,"P006_r3 | P009_r1 | P009_r3 | P064_r1 | P064_r2","P004_r3 | P033_r3 | P064_r3"
"https://clickup.com/blog/transcription-software/",1,6,"P003_r3","P003_r1 | P033_r1 | P055_r1 | P055_r2 | P055_r3 | P079_r3"
